,draftRank,eligibleSlots,playerId,name,projPoints
0,1,"[11, 12, 13, 14, 16, 17]",39832,Shohei Ohtani,588.0
3,2,"[10, 5, 12, 16, 17]",36969,Juan Soto,602.0
4,3,"[13, 14, 16, 17]",32081,Gerrit Cole,629.0
1,4,"[3, 7, 19, 11, 12, 16, 17]",32801,Jose Ramirez,676.0
8,5,"[13, 14, 16, 17]",39878,Corbin Burnes,613.0
5,6,"[1, 7, 19, 11, 12, 16, 17]",35002,Vladimir Guerrero Jr.,595.0
7,7,"[1, 7, 19, 12, 16, 17]",30193,Freddie Freeman,607.0
2,8,"[9, 10, 5, 11, 12, 16, 17]",33192,Aaron Judge,612.0
12,9,"[13, 14, 16, 17]",28976,Max Scherzer,510.0
9,10,"[10, 5, 12, 16, 17]",33039,Mookie Betts,559.5
11,11,"[10, 5, 12, 16, 17]",34967,Kyle Tucker,566.0
16,12,"[13, 14, 16, 17]",33709,Aaron Nola,562.0
13,13,"[13, 14, 16, 17]",35241,Sandy Alcantara,528.0
10,14,"[3, 7, 19, 12, 16, 17]",31097,Manny Machado,594.5
18,15,"[13, 14, 16, 17]",6341,Justin Verlander,477.0
6,16,"[4, 6, 19, 12, 16, 17]",33710,Trea Turner,571.0
21,17,"[13, 14, 16, 17]",32796,Jacob deGrom,434.0
14,18,"[8, 5, 11, 12, 16, 17]",36018,Yordan Alvarez,588.0
25,19,"[13, 14, 16, 17]",40912,Shane Bieber,525.0
24,20,"[2, 6, 19, 12, 16, 17]",32146,Marcus Semien,522.5
36,21,"[3, 7, 19, 12, 16, 17]",34886,Alex Bregman,515.5
35,22,"[13, 14, 16, 17]",32667,Kevin Gausman,540.0
28,23,"[13, 14, 16, 17]",41199,Shane McClanahan,522.0
19,24,"[1, 7, 19, 11, 12, 16, 17]",37498,Pete Alonso,584.0
27,25,"[4, 6, 19, 12, 16, 17]",32691,Corey Seager,537.5
33,26,"[13, 14, 16, 17]",34943,Dylan Cease,534.0
15,27,"[10, 5, 11, 12, 16, 17]",36185,Ronald Acuna Jr.,514.0
23,28,"[3, 7, 19, 12, 16, 17]",33859,Rafael Devers,560.5
30,29,"[13, 14, 15, 16, 17]",4307825,Spencer Strider,476.0
17,30,"[9, 5, 12, 16, 17]",30836,Mike Trout,548.0
26,31,"[4, 6, 19, 12, 16, 17]",35983,Fernando Tatis Jr.,498.0
29,32,"[1, 7, 19, 12, 16, 17]",32767,Matt Olson,594.5
37,33,"[13, 14, 16, 17]",37515,Brandon Woodruff,527.0
22,34,"[1, 7, 19, 11, 12, 16, 17]",31027,Paul Goldschmidt,569.5
38,35,"[13, 14, 16, 17]",31267,Zack Wheeler,532.0
32,36,"[4, 6, 19, 12, 16, 17]",32129,Francisco Lindor,531.5
31,37,"[3, 7, 19, 12, 16, 17]",31261,Nolan Arenado,526.5
44,38,"[13, 14, 16, 17]",35124,Luis Castillo,494.0
20,39,"[9, 5, 12, 16, 17]",41044,Julio Rodriguez,532.0
34,40,"[4, 6, 19, 12, 16, 17]",38904,Bo Bichette,539.0
54,41,"[13, 14, 16, 17]",32175,Robbie Ray,485.0
50,42,"[4, 6, 19, 12, 16, 17]",40929,Wander Franco,467.5
43,43,"[13, 14, 16, 17]",42436,Alek Manoah,498.0
42,44,"[2, 6, 19, 12, 16, 17]",33783,Ozzie Albies,481.0
49,45,"[13, 14, 16, 17]",32055,Yu Darvish,480.0
39,46,"[3, 4, 6, 7, 19, 12, 16, 17]",42403,Bobby Witt Jr.,511.0
45,47,"[13, 14, 16, 17]",33223,Julio Urias,506.0
47,48,"[13, 15, 16, 17]",41743,Emmanuel Clase,409.0
40,49,"[3, 7, 19, 12, 16, 17]",34982,Austin Riley,531.0
41,50,"[8, 5, 12, 16, 17]",33712,Kyle Schwarber,535.0
51,51,"[9, 10, 5, 11, 12, 16, 17]",32078,George Springer,486.5
48,52,"[13, 14, 16, 17]",32685,Max Fried,513.0
56,53,"[13, 14, 16, 17]",39910,Zac Gallen,477.0
55,54,"[13, 14, 16, 17]",36581,Framber Valdez,488.0
46,55,"[0, 11, 12, 16, 17]",38309,Will Smith,452.5
60,56,"[9, 5, 12, 16, 17]",38980,Bryan Reynolds,463.5
57,57,"[13, 14, 16, 17]",41261,Cristian Javier,474.0
64,58,"[1, 7, 19, 11, 12, 16, 17]",4109109,Vinnie Pasquantino,490.5
65,59,"[13, 14, 16, 17]",41216,Logan Webb,498.0
58,60,"[13, 15, 16, 17]",33224,Devin Williams,386.0
67,61,"[13, 14, 16, 17]",34954,Triston McKenzie,473.0
66,62,"[8, 10, 5, 12, 16, 17]",41996,Steven Kwan,459.0
82,63,"[1, 7, 19, 11, 12, 16, 17]",32517,Josh Bell,467.5
70,64,"[8, 10, 5, 11, 12, 16, 17]",36084,Anthony Santander,490.0
77,65,"[13, 14, 16, 17]",41221,Logan Gilbert,444.0
52,66,"[0, 11, 12, 16, 17]",42178,Adley Rutschman,391.0
63,67,"[13, 15, 16, 17]",32760,Josh Hader,340.0
74,68,"[13, 14, 16, 17]",36480,Nestor Cortes,435.0
72,69,"[4, 6, 19, 12, 16, 17]",32653,Carlos Correa,458.0
73,70,"[1, 2, 6, 7, 19, 12, 16, 17]",36364,Jake Cronenworth,495.0
59,71,"[9, 5, 12, 16, 17]",35578,Cedric Mullins,471.0
85,72,"[13, 14, 16, 17]",39671,Pablo Lopez,434.0
